
WARNING:tensorflow:From C:\Users\giova\anaconda3\envs\DLA\lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
C:\Users\giova\__PRODUCTIVITY\ArtificialIntelligence\__UNI\PW_AutonomousAgents\agent.py:90: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\cb\pytorch_1000000000000\work\torch\csrc\utils\tensor_new.cpp:264.)
  states = torch.tensor(normalized_states, dtype=torch.float32, device=self.device)
wandb: WARNING (User provided step: 6 is less than current step: 99. Dropping entry: {'State/2 - EP': 3.1749539375305176, 'State/2 - EV': 0.5699819922447205, 'State/2 - ACC': -1.2412060499191284, '_timestamp': 1728851398.3560905}).
wandb: WARNING (User provided step: 7 is less than current step: 99. Dropping entry: {'State/2 - EP': 3.418133020401001, 'State/2 - EV': 0.6941025853157043, 'State/2 - ACC': 0.352763831615448, '_timestamp': 1728851398.3560905}).
wandb: WARNING (User provided step: 8 is less than current step: 99. Dropping entry: {'State/2 - EP': 3.43462872505188, 'State/2 - EV': 0.6588262319564819, 'State/2 - ACC': -1.0060302019119263, '_timestamp': 1728851398.3570952}).
wandb: WARNING (User provided step: 9 is less than current step: 99. Dropping entry: {'State/2 - EP': 3.6514158248901367, 'State/2 - EV': 0.7594292759895325, 'State/2 - ACC': -2.547738790512085, '_timestamp': 1728851398.3570952}).
wandb: WARNING (User provided step: 10 is less than current step: 99. Dropping entry: {'State/2 - EP': 4.1095194816589355, 'State/2 - EV': 1.0142031908035278, 'State/2 - ACC': -2.573869228363037, '_timestamp': 1728851398.3570952}).
wandb: WARNING (User provided step: 11 is less than current step: 99. Dropping entry: {'State/2 - EP': 4.597020149230957, 'State/2 - EV': 1.2715901136398315, 'State/2 - ACC': -1.5025125741958618, '_timestamp': 1728851398.3570952}).
wandb: WARNING (User provided step: 12 is less than current step: 99. Dropping entry: {'State/2 - EP': 4.94955587387085, 'State/2 - EV': 1.4218413829803467, 'State/2 - ACC': -1.6070351600646973, '_timestamp': 1728851398.3570952}).
wandb: WARNING (User provided step: 13 is less than current step: 99. Dropping entry: {'State/2 - EP': 5.332795143127441, 'State/2 - EV': 1.5825449228286743, 'State/2 - ACC': -1.9467337131500244, '_timestamp': 1728851398.3580956}).
wandb: WARNING (User provided step: 14 is less than current step: 99. Dropping entry: {'State/2 - EP': 5.783059597015381, 'State/2 - EV': 1.7772183418273926, 'State/2 - ACC': 0.4050251245498657, '_timestamp': 1728851398.3580956}).
wandb: WARNING (User provided step: 15 is less than current step: 99. Dropping entry: {'State/2 - EP': 5.900027751922607, 'State/2 - EV': 1.7367157936096191, 'State/2 - ACC': -0.352763831615448, '_timestamp': 1728851398.3580956}).
wandb: WARNING (User provided step: 16 is less than current step: 99. Dropping entry: {'State/2 - EP': 6.126614093780518, 'State/2 - EV': 1.7719922065734863, 'State/2 - ACC': -0.37889447808265686, '_timestamp': 1728851398.3585982}).
wandb: WARNING (User provided step: 17 is less than current step: 99. Dropping entry: {'State/2 - EP': 6.360647678375244, 'State/2 - EV': 1.8098816871643066, 'State/2 - ACC': -0.6140703558921814, '_timestamp': 1728851398.3585982}).
wandb: WARNING (User provided step: 18 is less than current step: 99. Dropping entry: {'State/2 - EP': 6.63374662399292, 'State/2 - EV': 1.871288776397705, 'State/2 - ACC': 0.4834170937538147, '_timestamp': 1728851398.3585982}).
wandb: WARNING (User provided step: 19 is less than current step: 99. Dropping entry: {'State/2 - EP': 6.748363018035889, 'State/2 - EV': 1.8229470252990723, 'State/2 - ACC': -1.0582914352416992, '_timestamp': 1728851398.3585982}).
wandb: WARNING (User provided step: 20 is less than current step: 99. Dropping entry: {'State/2 - EP': 7.0894012451171875, 'State/2 - EV': 1.9287761449813843, 'State/2 - ACC': -1.6592965126037598, '_timestamp': 1728851398.3585982}).
wandb: WARNING (User provided step: 21 is less than current step: 99. Dropping entry: {'State/2 - EP': 7.531173229217529, 'State/2 - EV': 2.094705820083618, 'State/2 - ACC': 0.14371860027313232, '_timestamp': 1728851398.3585982}).
wandb: WARNING (User provided step: 22 is less than current step: 99. Dropping entry: {'State/2 - EP': 7.719086170196533, 'State/2 - EV': 2.080333948135376, 'State/2 - ACC': 1.5025125741958618, '_timestamp': 1728851398.3596027}).
wandb: WARNING (User provided step: 23 is less than current step: 99. Dropping entry: {'State/2 - EP': 7.701742649078369, 'State/2 - EV': 1.9300826787948608, 'State/2 - ACC': -1.1105527877807617, '_timestamp': 1728851398.3596027}).
wandb: WARNING (User provided step: 24 is less than current step: 99. Dropping entry: {'State/2 - EP': 8.061333656311035, 'State/2 - EV': 2.041137933731079, 'State/2 - ACC': -0.3005025088787079, '_timestamp': 1728851398.3596027}).
wandb: WARNING (User provided step: 25 is less than current step: 99. Dropping entry: {'State/2 - EP': 8.31052303314209, 'State/2 - EV': 2.07118821144104, 'State/2 - ACC': -0.5618090629577637, '_timestamp': 1728851398.3596027}).
wandb: WARNING (User provided step: 26 is less than current step: 99. Dropping entry: {'State/2 - EP': 8.601913452148438, 'State/2 - EV': 2.1273691654205322, 'State/2 - ACC': -1.2934672832489014, '_timestamp': 1728851398.3596027}).
wandb: WARNING (User provided step: 27 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.008670806884766, 'State/2 - EV': 2.256715774536133, 'State/2 - ACC': -0.11758793890476227, '_timestamp': 1728851398.360603}).
wandb: WARNING (User provided step: 28 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.251980781555176, 'State/2 - EV': 2.268474578857422, 'State/2 - ACC': 2.547738790512085, '_timestamp': 1728851398.5994573}).
wandb: WARNING (User provided step: 29 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.096667289733887, 'State/2 - EV': 2.0137007236480713, 'State/2 - ACC': 0.979899525642395, '_timestamp': 1728851398.600457}).
wandb: WARNING (User provided step: 30 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.151052474975586, 'State/2 - EV': 1.9157108068466187, 'State/2 - ACC': -0.8231155872344971, '_timestamp': 1728851398.600457}).
wandb: WARNING (User provided step: 31 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.46609115600586, 'State/2 - EV': 1.9980223178863525, 'State/2 - ACC': 1.6592965126037598, '_timestamp': 1728851398.600457}).
wandb: WARNING (User provided step: 32 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.416998863220215, 'State/2 - EV': 1.8320926427841187, 'State/2 - ACC': -0.11758793890476227, '_timestamp': 1728851398.610968}).
wandb: WARNING (User provided step: 33 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.617846488952637, 'State/2 - EV': 1.8438514471054077, 'State/2 - ACC': -0.8492462038993835, '_timestamp': 1728851398.610968}).
wandb: WARNING (User provided step: 34 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.929618835449219, 'State/2 - EV': 1.9287760257720947, 'State/2 - ACC': 0.8753768801689148, '_timestamp': 1728851398.6119673}).
wandb: WARNING (User provided step: 35 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.991189956665039, 'State/2 - EV': 1.8412383794784546, 'State/2 - ACC': 1.4763818979263306, '_timestamp': 1728851398.6119673}).
wandb: WARNING (User provided step: 36 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.953856468200684, 'State/2 - EV': 1.6936001777648926, 'State/2 - ACC': 1.6331658363342285, '_timestamp': 1728851398.6204808}).
wandb: WARNING (User provided step: 37 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.878241539001465, 'State/2 - EV': 1.5302835702896118, 'State/2 - ACC': 1.5547739267349243, '_timestamp': 1728851398.621481}).
wandb: WARNING (User provided step: 38 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.798053741455078, 'State/2 - EV': 1.3748061656951904, 'State/2 - ACC': 1.2673367261886597, '_timestamp': 1728851398.621481}).
wandb: WARNING (User provided step: 39 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.745433807373047, 'State/2 - EV': 1.2480725049972534, 'State/2 - ACC': 2.5216081142425537, '_timestamp': 1728851398.621481}).
wandb: WARNING (User provided step: 40 is less than current step: 99. Dropping entry: {'State/2 - EP': 9.491999626159668, 'State/2 - EV': 0.995911717414856, 'State/2 - ACC': -1.188944697380066, '_timestamp': 1728851398.6264803}).
